source,scenario,method,n_farms,n_vars,n_foods,solve_time,build_time,obj_value,gap,n_quadratic,n_constraints,status,time_category,farms_per_food,total_area,test_type
roadmap_phase1,"Simple Binary (4 farms, 6 crops, NO rotation)",gurobi,4,135,27,0.009351015090942383,0.019124984741210938,0.0,0.0,0,144,3,FAST,0.14814814814814814,4.0,Roadmap Gurobi
roadmap_phase1,"Rotation (4 farms, 6 crops, 3 periods)",gurobi_rotation,4,72,6,120.01306509971619,0.023323774337768555,3.6262688507037737,0.0,0,12,SUBOPTIMAL,TIMEOUT,0.6666666666666666,4.0,Roadmap Gurobi
roadmap_phase1,"Simple Binary (tiny_24: 4 farms, 5 foods, NO rotation)",gurobi,4,25,5,0.043424129486083984,0.042489051818847656,0.4945074492550744,0.0,0,32,OPTIMAL,FAST,0.8,4.0,Roadmap Gurobi
roadmap_phase1,"Rotation (rotation_micro_25: 5 farms, 6 crops, 3 periods)",gurobi_rotation,5,90,6,120.00401210784912,0.03712606430053711,4.078209151759545,0.0,0,15,SUBOPTIMAL,TIMEOUT,0.8333333333333334,5.0,Roadmap Gurobi
roadmap_phase1,"Simple Binary (tiny_24: 4 farms, 5 foods, NO rotation)",gurobi,4,25,5,0.020542144775390625,0.024173974990844727,0.4945074492550744,0.0,0,32,OPTIMAL,FAST,0.8,4.0,Roadmap Gurobi
roadmap_phase1,"Rotation (rotation_micro_25: 5 farms, 6 crops, 3 periods)",gurobi_rotation,5,90,6,120.00829601287842,0.03252673149108887,4.078209151759545,0.0,0,15,SUBOPTIMAL,TIMEOUT,0.8333333333333334,5.0,Roadmap Gurobi
roadmap_phase2,Phase2_scale5,gurobi_rotation,5,405,6,300.01207304000854,0.7218451499938965,3.3756109136663994,0.0,0,15,SUBOPTIMAL,TIMEOUT,0.8333333333333334,5.0,Roadmap Gurobi
roadmap_phase2,Phase2_scale10,gurobi_rotation,10,810,6,300.0315499305725,1.45743989944458,5.61160378194819,0.0,0,30,SUBOPTIMAL,TIMEOUT,1.6666666666666667,10.0,Roadmap Gurobi
roadmap_phase2,Phase2_scale15,gurobi_rotation,15,1215,6,300.05163621902466,2.298508644104004,7.851808153838562,0.0,0,45,SUBOPTIMAL,TIMEOUT,2.5,15.0,Roadmap Gurobi
roadmap_phase2,Phase2_scale5,gurobi_rotation,5,90,6,300.00291895866394,0.09053993225097656,4.078209151759545,0.0,0,15,SUBOPTIMAL,TIMEOUT,0.8333333333333334,5.0,Roadmap Gurobi
roadmap_phase2,Phase2_scale10,gurobi_rotation,10,180,6,300.00243401527405,0.1233210563659668,7.174692355363064,0.0,0,30,SUBOPTIMAL,TIMEOUT,1.6666666666666667,10.0,Roadmap Gurobi
roadmap_phase2,Phase2_scale15,gurobi_rotation,15,270,6,300.0029239654541,0.4187619686126709,11.526557122912862,0.0,0,45,SUBOPTIMAL,TIMEOUT,2.5,15.0,Roadmap Gurobi
roadmap_phase2,Phase2_scale5,gurobi_rotation,5,90,6,300.0181019306183,0.0898897647857666,4.078209151759545,0.0,0,15,SUBOPTIMAL,TIMEOUT,0.8333333333333334,5.0,Roadmap Gurobi
roadmap_phase2,Phase2_scale10,gurobi_rotation,10,180,6,300.00613808631897,0.06883788108825684,7.174692355363064,0.0,0,30,SUBOPTIMAL,TIMEOUT,1.6666666666666667,10.0,Roadmap Gurobi
roadmap_phase2,Phase2_scale15,gurobi_rotation,15,270,6,300.0048131942749,0.1410207748413086,11.526557122912862,0.0,0,45,SUBOPTIMAL,TIMEOUT,2.5,15.0,Roadmap Gurobi
roadmap_phase3,Phase3_scale10,gurobi_rotation,10,810,6,1.8969621658325195,1.4342238903045654,0.0,0.0,0,30,11,FAST,1.6666666666666667,10.0,Roadmap Gurobi
