source,scenario,method,n_farms,n_vars,n_foods,solve_time,build_time,qpu_time,embedding_time,obj_value,gap,n_quadratic,n_constraints,status,time_category,farms_per_food,total_area,test_type
roadmap_phase1,"Simple Binary (4 farms, 6 crops, NO rotation)",direct_qpu,4,108,27,11.389587802190551,0,0.24770276000000002,11.141885042190552,0.8348387908009459,0,1512,0,INFEASIBLE,MEDIUM,0.14814814814814814,4.0,Roadmap QPU
roadmap_phase1,"Simple Binary (4 farms, 6 crops, NO rotation)",clique_qpu,4,108,27,0.25756596,0,0.25756596,0.0,0.13215527638416405,0,1512,0,INFEASIBLE,FAST,0.14814814814814814,4.0,Roadmap QPU
roadmap_phase1,"Rotation (4 farms, 6 crops, 3 periods)",clique_decomposition,4,72,6,0.14229904000000002,0,0.14229904000000002,0.0,1.7954055,0,0,0,OPTIMAL,FAST,0.6666666666666666,4.0,Roadmap QPU
roadmap_phase1,"Rotation (4 farms, 6 crops, 3 periods)",spatial_temporal_decomp,4,72,6,0.17523816,0,0.17523816,0.0,1.8339450000000002,0,0,0,OPTIMAL,FAST,0.6666666666666666,4.0,Roadmap QPU
roadmap_phase1,"Simple Binary (tiny_24: 4 farms, 5 foods, NO rotation)",direct_qpu,4,20,5,0.2897760113031006,0,0.16348116000000001,0.12629485130310059,0.5145,0,60,0,INFEASIBLE,FAST,0.8,4.0,Roadmap QPU
roadmap_phase1,"Simple Binary (tiny_24: 4 farms, 5 foods, NO rotation)",clique_qpu,4,20,5,0.21872076000000001,0,0.21872076000000001,0.0,0.49441425857414256,0,60,0,INFEASIBLE,FAST,0.8,4.0,Roadmap QPU
roadmap_phase1,"Rotation (rotation_micro_25: 5 farms, 6 crops, 3 periods)",clique_decomposition,5,90,6,0.17787779999999997,0,0.17787779999999997,0.0,1.81041825,0,0,0,OPTIMAL,FAST,0.8333333333333334,5.0,Roadmap QPU
roadmap_phase1,"Rotation (rotation_micro_25: 5 farms, 6 crops, 3 periods)",spatial_temporal_decomp,5,90,6,0.25976203999999997,0,0.25976203999999997,0.0,1.8528000000000002,0,0,0,OPTIMAL,FAST,0.8333333333333334,5.0,Roadmap QPU
roadmap_phase1,"Simple Binary (tiny_24: 4 farms, 5 foods, NO rotation)",direct_qpu,4,20,5,0.286899814309082,0,0.16348195999999998,0.12341785430908203,0.5145,0,60,0,INFEASIBLE,FAST,0.8,4.0,Roadmap QPU
roadmap_phase1,"Simple Binary (tiny_24: 4 farms, 5 foods, NO rotation)",clique_qpu,4,20,5,0.22280076000000001,0,0.22280076000000001,0.0,0.5024986501349865,0,60,0,INFEASIBLE,FAST,0.8,4.0,Roadmap QPU
roadmap_phase1,"Rotation (rotation_micro_25: 5 farms, 6 crops, 3 periods)",clique_decomposition,5,90,6,0.17878100000000002,0,0.17878100000000002,0.0,4.020511434732555,0,0,0,OPTIMAL,FAST,0.8333333333333334,5.0,Roadmap QPU
roadmap_phase1,"Rotation (rotation_micro_25: 5 farms, 6 crops, 3 periods)",spatial_temporal_decomp,5,90,6,0.25513924,0,0.25513924,0.0,3.800412978626089,0,0,0,OPTIMAL,FAST,0.8333333333333334,5.0,Roadmap QPU
roadmap_phase2,,spatial_temporal_decomp,0,405,0,0.28702084000000005,0,0.28702084000000005,0.0,0.5554682240945614,0,0,0,OPTIMAL,FAST,0.0,0.0,Roadmap QPU
roadmap_phase2,,spatial_temporal_decomp,0,810,0,0.4445513999999998,0,0.4445513999999998,0.0,0.5164284083811354,0,0,0,OPTIMAL,FAST,0.0,0.0,Roadmap QPU
roadmap_phase2,,spatial_temporal_decomp,0,1215,0,0.5880794,0,0.5880794,0.0,0.5483200442374865,0,0,0,OPTIMAL,FAST,0.0,0.0,Roadmap QPU
roadmap_phase2,,spatial_temporal_decomp,0,90,0,0.25510804,0,0.25510804,0.0,1.8644880000000001,0,0,0,OPTIMAL,FAST,0.0,0.0,Roadmap QPU
roadmap_phase2,,spatial_temporal_decomp,0,180,0,0.42650180000000004,0,0.42650180000000004,0.0,1.7408865886588658,0,0,0,OPTIMAL,FAST,0.0,0.0,Roadmap QPU
roadmap_phase2,,spatial_temporal_decomp,0,270,0,0.5363042,0,0.5363042,0.0,1.6882971349353044,0,0,0,OPTIMAL,FAST,0.0,0.0,Roadmap QPU
roadmap_phase2,,spatial_temporal_decomp,0,90,0,0.25513843999999997,0,0.25513843999999997,0.0,3.7732967279894227,0,0,0,OPTIMAL,FAST,0.0,0.0,Roadmap QPU
