var_name,var_type,value,fractional_flag
Y_Plot1_Wheat,C,0.0,False
Y_Plot1_Rice,C,0.0,False
Y_Plot1_Corn,C,0.0,False
Y_Plot1_Barley,C,0.0,False
Y_Plot1_Soybeans,C,0.0,False
Y_Plot1_Lentils,C,0.0,False
Y_Plot1_Chickpeas,C,1.0,False
Y_Plot1_Potatoes,C,0.0,False
Y_Plot1_Carrots,C,0.0,False
Y_Plot1_Tomatoes,C,0.0,False
Y_Plot1_Apples,C,0.0,False
Y_Plot1_Oranges,C,0.0,False
Y_Plot1_Eggs,C,0.0,False
Y_Plot1_Chicken,C,0.0,False
Y_Plot2_Wheat,C,0.0,False
Y_Plot2_Rice,C,0.0,False
Y_Plot2_Corn,C,0.0,False
Y_Plot2_Barley,C,0.0,False
Y_Plot2_Soybeans,C,0.0,False
Y_Plot2_Lentils,C,0.0,False
Y_Plot2_Chickpeas,C,1.0,False
Y_Plot2_Potatoes,C,0.0,False
Y_Plot2_Carrots,C,0.0,False
Y_Plot2_Tomatoes,C,0.0,False
Y_Plot2_Apples,C,0.0,False
Y_Plot2_Oranges,C,0.0,False
Y_Plot2_Eggs,C,0.0,False
Y_Plot2_Chicken,C,0.0,False
Y_Plot3_Wheat,C,0.0,False
Y_Plot3_Rice,C,0.0,False
Y_Plot3_Corn,C,0.0,False
Y_Plot3_Barley,C,0.0,False
Y_Plot3_Soybeans,C,0.0,False
Y_Plot3_Lentils,C,0.0,False
Y_Plot3_Chickpeas,C,0.0,False
Y_Plot3_Potatoes,C,0.0,False
Y_Plot3_Carrots,C,0.0,False
Y_Plot3_Tomatoes,C,0.0,False
Y_Plot3_Apples,C,0.0,False
Y_Plot3_Oranges,C,0.0,False
Y_Plot3_Eggs,C,0.0,False
Y_Plot3_Chicken,C,1.0,False
Y_Plot4_Wheat,C,0.0,False
Y_Plot4_Rice,C,0.0,False
Y_Plot4_Corn,C,0.0,False
Y_Plot4_Barley,C,0.0,False
Y_Plot4_Soybeans,C,0.0,False
Y_Plot4_Lentils,C,0.0,False
Y_Plot4_Chickpeas,C,0.0,False
Y_Plot4_Potatoes,C,0.0,False
Y_Plot4_Carrots,C,0.0,False
Y_Plot4_Tomatoes,C,0.0,False
Y_Plot4_Apples,C,1.0,False
Y_Plot4_Oranges,C,0.0,False
Y_Plot4_Eggs,C,0.0,False
Y_Plot4_Chicken,C,0.0,False
Y_Plot5_Wheat,C,0.0,False
Y_Plot5_Rice,C,0.0,False
Y_Plot5_Corn,C,0.0,False
Y_Plot5_Barley,C,0.0,False
Y_Plot5_Soybeans,C,0.0,False
Y_Plot5_Lentils,C,0.0,False
Y_Plot5_Chickpeas,C,1.0,False
Y_Plot5_Potatoes,C,0.0,False
Y_Plot5_Carrots,C,0.0,False
Y_Plot5_Tomatoes,C,0.0,False
Y_Plot5_Apples,C,0.0,False
Y_Plot5_Oranges,C,0.0,False
Y_Plot5_Eggs,C,0.0,False
Y_Plot5_Chicken,C,0.0,False
Y_Plot6_Wheat,C,0.0,False
Y_Plot6_Rice,C,0.0,False
Y_Plot6_Corn,C,0.0,False
Y_Plot6_Barley,C,0.0,False
Y_Plot6_Soybeans,C,0.0,False
Y_Plot6_Lentils,C,0.0,False
Y_Plot6_Chickpeas,C,1.0,False
Y_Plot6_Potatoes,C,0.0,False
Y_Plot6_Carrots,C,0.0,False
Y_Plot6_Tomatoes,C,0.0,False
Y_Plot6_Apples,C,0.0,False
Y_Plot6_Oranges,C,0.0,False
Y_Plot6_Eggs,C,0.0,False
Y_Plot6_Chicken,C,0.0,False
Y_Plot7_Wheat,C,0.0,False
Y_Plot7_Rice,C,0.0,False
Y_Plot7_Corn,C,0.0,False
Y_Plot7_Barley,C,0.0,False
Y_Plot7_Soybeans,C,0.0,False
Y_Plot7_Lentils,C,0.0,False
Y_Plot7_Chickpeas,C,1.0,False
Y_Plot7_Potatoes,C,0.0,False
Y_Plot7_Carrots,C,0.0,False
Y_Plot7_Tomatoes,C,0.0,False
Y_Plot7_Apples,C,0.0,False
Y_Plot7_Oranges,C,0.0,False
Y_Plot7_Eggs,C,0.0,False
Y_Plot7_Chicken,C,0.0,False
Y_Plot8_Wheat,C,0.0,False
Y_Plot8_Rice,C,0.0,False
Y_Plot8_Corn,C,1.0,False
Y_Plot8_Barley,C,0.0,False
Y_Plot8_Soybeans,C,0.0,False
Y_Plot8_Lentils,C,0.0,False
Y_Plot8_Chickpeas,C,0.0,False
Y_Plot8_Potatoes,C,0.0,False
Y_Plot8_Carrots,C,0.0,False
Y_Plot8_Tomatoes,C,0.0,False
Y_Plot8_Apples,C,0.0,False
Y_Plot8_Oranges,C,0.0,False
Y_Plot8_Eggs,C,0.0,False
Y_Plot8_Chicken,C,0.0,False
Y_Plot9_Wheat,C,0.0,False
Y_Plot9_Rice,C,0.0,False
Y_Plot9_Corn,C,0.0,False
Y_Plot9_Barley,C,0.0,False
Y_Plot9_Soybeans,C,0.0,False
Y_Plot9_Lentils,C,0.0,False
Y_Plot9_Chickpeas,C,1.0,False
Y_Plot9_Potatoes,C,0.0,False
Y_Plot9_Carrots,C,0.0,False
Y_Plot9_Tomatoes,C,0.0,False
Y_Plot9_Apples,C,0.0,False
Y_Plot9_Oranges,C,0.0,False
Y_Plot9_Eggs,C,0.0,False
Y_Plot9_Chicken,C,0.0,False
Y_Plot10_Wheat,C,0.0,False
Y_Plot10_Rice,C,0.0,False
Y_Plot10_Corn,C,0.0,False
Y_Plot10_Barley,C,0.0,False
Y_Plot10_Soybeans,C,0.0,False
Y_Plot10_Lentils,C,0.0,False
Y_Plot10_Chickpeas,C,0.0,False
Y_Plot10_Potatoes,C,1.0,False
Y_Plot10_Carrots,C,0.0,False
Y_Plot10_Tomatoes,C,0.0,False
Y_Plot10_Apples,C,0.0,False
Y_Plot10_Oranges,C,0.0,False
Y_Plot10_Eggs,C,0.0,False
Y_Plot10_Chicken,C,0.0,False
U_Wheat,C,0.0,False
U_Rice,C,0.0,False
U_Corn,C,1.0,False
U_Barley,C,0.0,False
U_Soybeans,C,0.0,False
U_Lentils,C,0.0,False
U_Chickpeas,C,1.0,False
U_Potatoes,C,1.0,False
U_Carrots,C,0.0,False
U_Tomatoes,C,0.0,False
U_Apples,C,1.0,False
U_Oranges,C,0.0,False
U_Eggs,C,0.0,False
U_Chicken,C,1.0,False
