var_name,var_type,value,fractional_flag
Y_Plot1_Wheat,C,0.0,False
Y_Plot1_Rice,C,0.0,False
Y_Plot1_Soybeans,C,0.0,False
Y_Plot1_Lentils,C,1.0,False
Y_Plot1_Potatoes,C,0.0,False
Y_Plot2_Wheat,C,0.0,False
Y_Plot2_Rice,C,0.0,False
Y_Plot2_Soybeans,C,0.0,False
Y_Plot2_Lentils,C,0.0,False
Y_Plot2_Potatoes,C,1.0,False
Y_Plot3_Wheat,C,0.0,False
Y_Plot3_Rice,C,0.0,False
Y_Plot3_Soybeans,C,0.0,False
Y_Plot3_Lentils,C,1.0,False
Y_Plot3_Potatoes,C,0.0,False
Y_Plot4_Wheat,C,0.0,False
Y_Plot4_Rice,C,1.0,False
Y_Plot4_Soybeans,C,0.0,False
Y_Plot4_Lentils,C,0.0,False
Y_Plot4_Potatoes,C,0.0,False
U_Wheat,C,0.0,False
U_Rice,C,1.0,False
U_Soybeans,C,0.0,False
U_Lentils,C,1.0,False
U_Potatoes,C,1.0,False
