scenario,n_farms,n_vars,n_clusters,qpu_calls,total_time_s,qpu_time_s,source
rotation_micro_25,5,90,1,3,6.874333333333333,0.11933333333333333,estimated
rotation_small_50,10,180,2,6,13.748666666666667,0.23866666666666667,estimated
rotation_15farms_6foods,15,270,3,9,20.623,0.358,estimated
rotation_medium_100,20,360,4,12,27.497333333333334,0.47733333333333333,estimated
rotation_25farms_6foods,25,450,5,15,34.31,0.6,empirical
rotation_large_200,40,720,8,24,54.99466666666667,0.9546666666666667,estimated
rotation_50farms_6foods,50,900,10,30,69.61,1.19,empirical
rotation_75farms_6foods,75,1350,15,45,103.115,1.79,estimated
rotation_100farms_6foods,100,1800,20,60,136.0,2.38,empirical
rotation_25farms_27foods,25,2025,5,15,34.31,0.6,empirical
rotation_150farms_6foods,150,2700,30,90,206.23,3.58,estimated
rotation_50farms_27foods,50,4050,10,30,69.61,1.19,empirical
rotation_75farms_27foods,75,6075,15,45,103.115,1.79,estimated
rotation_100farms_27foods,100,8100,20,60,136.0,2.38,empirical
rotation_150farms_27foods,150,12150,30,90,206.23,3.58,estimated
rotation_200farms_27foods,200,16200,40,120,274.97333333333336,4.773333333333333,estimated
rotation_250farms_27foods,250,20250,50,150,343.7166666666667,5.966666666666667,estimated
rotation_350farms_27foods,350,28350,70,210,481.2033333333333,8.353333333333333,estimated
rotation_500farms_27foods,500,40500,100,300,687.4333333333334,11.933333333333334,estimated
rotation_1000farms_27foods,1000,81000,200,600,1374.8666666666668,23.866666666666667,estimated
