n_vars,n_farms,method,test,formulation,gurobi_obj,quantum_obj,gap,speedup,qpu_time,n_vars_original
90,5,Clique Decomp,Statistical,6 families (native),4.078209151759545,3.5993308622544093,11.742367095089351,14.561366057775192,0.5363886000000001,
90,5,Spatial Temporal,Statistical,6 families (native),4.078209151759545,3.326916770097559,18.42211504375249,10.093243774697823,0.7654885200000001,
180,10,Clique Decomp,Statistical,6 families (native),7.174692355363064,6.084280121941886,15.198034694910618,8.417162897186593,1.0727724,
180,10,Spatial Temporal,Statistical,6 families (native),7.174692355363064,5.906518518959828,17.675654558976024,6.794139739215675,1.279787800000001,
270,15,Clique Decomp,Statistical,6 families (native),11.526557122912862,9.92520558639103,13.892713318000343,6.2799792748597145,1.6091718000000006,
270,15,Spatial Temporal,Statistical,6 families (native),11.526557122912862,10.03257492477374,12.961218013393921,6.377603719287349,1.6091954000000008,
360,20,Clique Decomp,Statistical,6 families (native),14.887555626323916,12.537017096700446,15.78861291014953,5.24415781735208,2.1455700000000006,
360,20,Spatial Temporal,Statistical,6 families (native),14.887555626323916,11.949682678138695,19.733749595471036,4.832777639666578,2.18692608,
450,25,Hierarchical Quantum,Hierarchical,27 foods → 6 families,12.322366321050083,28.928124879451328,134.76111751388137,8.752506001796673,0.59553,2025.0
900,50,Hierarchical Quantum,Hierarchical,27 foods → 6 families,23.581251663185185,55.13193688245534,133.79563421786798,4.3189152910591675,1.1910665999999999,4050.0
1800,100,Hierarchical Quantum,Hierarchical,27 foods → 6 families,46.085942684031465,106.03738260037518,130.0861747092277,2.212706665249536,2.3821144000000003,8100.0
