ObjectiveLevel,ResultStatement,Indicator,IndicatorDefinition,MeansOfMeasurement,Baseline,SDG,SDGTargets,Positive SDG Interlinkages,Negative SDG Interlinkages
OUTPUT,Deliver a balanced set of diversified crops minimizing env. impact,% food groups in quantum-optimized crop plan minimizing env. impact,% of essential food groups included in optimized planting plan,Analysis of crop plan vs national dietary guidelines minimizing env. impact,,2 Zero Hunger,"2.a Increase investment, including through enhanced international cooperation, in rural infrastructure, agricultural research and extension services, technology development and plant and livestock gene banks in order to enhance agricultural productive capacity in developing countries, in particular least developed countries",SDG 3: Better nutrition improves health outcomes & reduces disease burden,SDG 13: Intensive agriculture may increase GHG emissions without optimization
OUTPUT,Deliver a balanced set of diversified crops maximizing affordability,% food groups in quantum-optimized crop plan,% of essential food groups included in optimized planting plan maximizing affordability,Analysis of crop plan vs national dietary guidelines maximizing affordability,,2 Zero Hunger,"2.a Increase investment, including through enhanced international cooperation, in rural infrastructure, agricultural research and extension services, technology development and plant and livestock gene banks in order to enhance agricultural productive capacity in developing countries, in particular least developed countries",SDG 3: Better nutrition improves health outcomes & reduces disease burden,SDG 13: Intensive agriculture may increase GHG emissions without optimization
OUTPUT,Deliver a balanced set of diversified crops maximizing nutritional scores,% food groups in quantum-optimized crop plan maximizing nutritional scores,% of essential food groups included in optimized planting plan,Analysis of crop plan vs national dietary guidelines maximizing nutritional scores,,2 Zero Hunger,"2.a Increase investment, including through enhanced international cooperation, in rural infrastructure, agricultural research and extension services, technology development and plant and livestock gene banks in order to enhance agricultural productive capacity in developing countries, in particular least developed countries",SDG 3: Better nutrition improves health outcomes & reduces disease burden,SDG 13: Intensive agriculture may increase GHG emissions without optimization
OUTPUT,Produce a map of diversified crops and planting assignments,Digital mapping and optimization platform deployed,Availability and stakeholder use of the quantum crop planning tool,,,"9 Industry, Innovation and Infrastructure","9.a Facilitate sustainable and resilient infrastructure development in developing countries through enhanced financial, technological and technical support to African countries, least developed countries, landlocked developing countries and small island developing States",SDG 8: Innovation infrastructure drives economic growth & jobs,SDG 13: Technology production & operation increase energy demand
SHORT_TERM_IMPACT,Grow a balanced set of diversified crops minimizing env. impact,% food groups in quantum-optimized crop plan minimizing env. impact actually planted,% of essential food groups included in optimized  plan minimizing env.  actually planted,Analysis of crop plan vs national dietary guidelines minimizing env. impact,baseline surveys,2 Zero Hunger,"2.3 By 2030, double the agricultural productivity and incomes of small-scale food producers, in particular women, indigenous peoples, family farmers, pastoralists and fishers, including through secure and equal access to land, other productive resources and inputs, knowledge, financial services, markets and opportunities for value addition and non-farm employment; 2.4 By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality",SDG 3: Better nutrition improves health outcomes & reduces disease burden,SDG 13: Intensive agriculture may increase GHG emissions without optimization
SHORT_TERM_IMPACT,Grow a balanced set of diversified crops maximizing affordability,% food groups in quantum-optimized crop plan maximizing affordability actually planted,% of essential food groups included in optimized planting plan maximizing affordability actuall,Analysis of crop plan vs national dietary guidelines minimizing env. impact,baseline surveys,2 Zero Hunger,"2.3 By 2030, double the agricultural productivity and incomes of small-scale food producers, in particular women, indigenous peoples, family farmers, pastoralists and fishers, including through secure and equal access to land, other productive resources and inputs, knowledge, financial services, markets and opportunities for value addition and non-farm employment; 2.4 By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality",SDG 3: Better nutrition improves health outcomes & reduces disease burden,SDG 13: Intensive agriculture may increase GHG emissions without optimization
SHORT_TERM_IMPACT,Grow a balanced set of diversified crops maximizing nutritional scores,% food groups in quantum-optimized crop plan maximizing nutritional scores actually planted,% of essential food groups included in optimized planting plan actually planted,Analysis of crop plan vs national dietary guidelines minimizing env. impact,baseline surveys,2 Zero Hunger,"2.3 By 2030, double the agricultural productivity and incomes of small-scale food producers, in particular women, indigenous peoples, family farmers, pastoralists and fishers, including through secure and equal access to land, other productive resources and inputs, knowledge, financial services, markets and opportunities for value addition and non-farm employment; 2.4 By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality",SDG 3: Better nutrition improves health outcomes & reduces disease burden,SDG 13: Intensive agriculture may increase GHG emissions without optimization
MID_TERM_IMPACT,Reducing overall micronutrient deficiencies,"Average levels of key micronutrients (Fe, Vit A, Zn, folate)",Change in biomarker levels for target micronutrients among households,Blood/urine samples at baseline and endline; lab analysis,baseline surveys,2 Zero Hunger,"2.2 By 2030, end all forms of malnutrition, including achieving, by 2025, the internationally agreed targets on stunting and wasting in children under 5 years of age, and address the nutritional needs of adolescent girls, pregnant and lactating women and older persons",SDG 3: Better nutrition improves health outcomes & reduces disease burden,SDG 13: Intensive agriculture may increase GHG emissions without optimization
MID_TERM_IMPACT,Reducing CO2 emissions,CO₂ emissions per hectare in optimized crop plan,Change in CO₂ emitted per hectare after adopting quantum-guided planting,"Field emission data, energy use logs, and model-based CO₂ estimates",baseline surveys,13 Climate Action,13.a Implement the commitment undertaken by developed-country parties to the United Nations Framework Convention on Climate Change to a goal of mobilizing jointly $100 billion annually by 2020 from all sources to address the needs of developing countries in the context of meaningful mitigation actions and transparency on implementation and fully operationalize the Green Climate Fund through its capitalization as soon as possible,SDG 7: Climate action drives renewable energy adoption,SDG 1: Climate policies may increase costs for poor households
LONG_TERM_IMPACT,improve hunger rates,% households meeting minimum dietary needs,Share of households achieving required daily nutrient intake,Household dietary recall surveys and nutritional assessments,baseline surveys,2 Zero Hunger,"2.2 By 2030, end all forms of malnutrition, including achieving, by 2025, the internationally agreed targets on stunting and wasting in children under 5 years of age, and address the nutritional needs of adolescent girls, pregnant and lactating women and older persons",SDG 3: Better nutrition improves health outcomes & reduces disease burden,SDG 13: Intensive agriculture may increase GHG emissions without optimization
LONG_TERM_IMPACT,Adults: Improved ability to perform work activities. Kids: Improved school performance,Average productivity self-rating score (1–5); School performance composite score (attendance & ,"Change in attendance, concentration, and test scores linked to diet",Standardized survey at baseline and follow-up,baseline surveys,2 Zero Hunger,"2.3 By 2030, double the agricultural productivity and incomes of small-scale food producers, in particular women, indigenous peoples, family farmers, pastoralists and fishers, including through secure and equal access to land, other productive resources and inputs, knowledge, financial services, markets and opportunities for value addition and non-farm employment",SDG 3: Better nutrition improves health outcomes & reduces disease burden,SDG 13: Intensive agriculture may increase GHG emissions without optimization
