Crop,Food Group,Times #1,Win Rate (%),Best Rank,Worst Rank,Mean Rank,Rank Std,Mean Benefit,Benefit Std
Spinach,Vegetables,712,71.13,1,15,2.77,3.54,0.3911,0.216
Pork,Animal-source foods,93,9.29,1,25,4.39,4.48,0.2995,0.1239
Long bean,Vegetables,0,0.0,2,14,5.15,2.85,0.283,0.1058
Chickpeas,"Pulses, nuts, and seeds",137,13.69,1,23,6.24,4.6,0.274,0.0939
Cabbage,Vegetables,0,0.0,2,17,6.58,4.06,0.2495,0.133
Tempeh,"Pulses, nuts, and seeds",0,0.0,4,26,7.84,2.45,0.25,0.0993
Tomatoes,Vegetables,0,0.0,3,19,9.21,3.0,0.2315,0.1174
Pumpkin,Vegetables,0,0.0,3,21,9.79,4.06,0.2308,0.1249
Peanuts,"Pulses, nuts, and seeds",0,0.0,4,22,9.83,4.45,0.2422,0.0948
Lamb,Animal-source foods,1,0.1,1,26,10.55,6.91,0.232,0.1358
Guava,Fruits,19,1.9,1,22,11.54,4.48,0.21,0.0941
Egg,Animal-source foods,0,0.0,4,24,11.91,5.11,0.2246,0.1276
Tofu,"Pulses, nuts, and seeds",0,0.0,7,25,12.18,2.36,0.2114,0.0976
Chicken,Animal-source foods,0,0.0,3,24,13.45,3.87,0.2136,0.1162
Corn,Starchy staples,39,3.9,1,25,13.55,8.38,0.2145,0.0824
Potato,Starchy staples,0,0.0,5,20,13.78,3.12,0.198,0.0866
Papaya,Fruits,0,0.0,2,26,14.61,4.54,0.1901,0.0878
Orange,Fruits,0,0.0,2,23,17.24,3.13,0.1739,0.0871
Beef,Animal-source foods,0,0.0,2,27,18.97,8.36,0.1441,0.1932
Banana,Fruits,0,0.0,7,24,19.34,4.26,0.1602,0.0727
Avocado,Fruits,0,0.0,6,23,19.94,1.96,0.1594,0.0882
Mango,Fruits,0,0.0,8,23,20.4,1.51,0.158,0.0841
Cucumber,Vegetables,0,0.0,8,25,20.98,2.85,0.1548,0.0803
Durian,Fruits,0,0.0,4,27,22.44,2.15,0.1492,0.0882
Eggplant,Vegetables,0,0.0,9,26,24.15,1.33,0.1296,0.0733
Apple,Fruits,0,0.0,7,27,25.09,1.98,0.1092,0.0678
Watermelon,Fruits,0,0.0,13,27,26.06,2.19,0.0942,0.0568
