scenario,n_vars,n_farms,n_foods,total_slots,qpu_obj,gurobi_obj,gap,one_hot_viols,rotation_viols,total_viols,violation_rate,avg_benefit_per_slot,estimated_lost_benefit
rotation_micro_25,90,5,6,15,-4.863684770998783,6.168884162643764,-1.3051993916449804,1,0,1,6.666666666666667,0.4112589441762509,0.4112589441762509
rotation_small_50,180,10,6,30,-21.786671592696617,8.687446707523605,13.099224885173012,7,0,7,23.333333333333332,0.2895815569174535,2.0270708984221746
rotation_15farms_6foods,270,15,6,45,-26.216094322837655,9.67541763098427,16.540676691853385,10,0,10,22.22222222222222,0.21500928068853933,2.1500928068853935
rotation_medium_100,360,20,6,60,-39.243209384127354,12.784948306474519,26.458261077652836,13,0,13,21.666666666666668,0.21308247177457532,2.7700721330694793
rotation_25farms_6foods,450,25,6,75,-52.67387666803894,13.45030359981726,39.22357306822168,17,0,17,22.666666666666664,0.1793373813308968,3.0487354826252457
rotation_50farms_6foods,900,50,6,150,-109.66745444448111,26.91964898820862,82.74780545627249,34,0,34,22.666666666666664,0.17946432658805747,6.101787103993954
rotation_75farms_6foods,1350,75,6,225,-161.4393698688119,40.370088048114894,121.069281820697,54,0,54,24.0,0.1794226135471773,9.688821131547575
rotation_100farms_6foods,1800,100,6,300,-229.14286690955802,53.76509665723643,175.3777702523216,79,0,79,26.333333333333332,0.17921698885745477,14.158142119738926
rotation_large_200,900,50,6,150,-94.63941019791295,21.566293977258738,73.07311622065421,32,0,32,21.333333333333336,0.1437752931817249,4.600809381815197
rotation_25farms_27foods,2025,25,27,75,-57.6042144530338,11.675710988812511,45.928503464221286,16,0,16,21.333333333333336,0.15567614651750014,2.4908183442800023
rotation_50farms_27foods,4050,50,27,150,-102.61020652436801,23.35510608408407,79.25510044028394,32,0,32,21.333333333333336,0.15570070722722715,4.982422631271269
rotation_100farms_27foods,8100,100,27,300,-235.11386057524436,46.68364623525099,188.43021433999337,74,0,74,24.666666666666668,0.1556121541175033,11.515299404695243
rotation_200farms_27foods,16200,200,27,600,-500.5923285338888,93.51578256484049,407.0765459690483,157,0,157,26.166666666666664,0.15585963760806748,24.469963104466594
