,Mango,Papaya,Orange,Banana,Guava,Watermelon,Apple,Avocado,Durian,Corn,Potato,Tofu,Tempeh,Peanuts,Chickpeas,Pumpkin,Spinach,Tomatoes,Long bean,Cabbage,Eggplant,Cucumber,Egg,Beef,Lamb,Pork,Chicken
Mango,0.03908933333333334,0.03908933333333334,0.03908933333333334,0.03908933333333334,0.03908933333333334,0.03908933333333334,0.03908933333333334,0.03908933333333334,0.03908933333333334,0.06254293333333334,0.06254293333333334,0.015635733333333336,0.015635733333333336,0.015635733333333336,0.015635733333333336,0.07817866666666667,0.07817866666666667,0.07817866666666667,0.07817866666666667,0.07817866666666667,0.07817866666666667,0.07817866666666667,0.0,0.0,0.0,0.0,0.0
Papaya,0.03908933333333334,0.03908933333333334,0.03908933333333334,0.03908933333333334,0.03908933333333334,0.03908933333333334,0.03908933333333334,0.03908933333333334,0.03908933333333334,0.06254293333333334,0.06254293333333334,0.015635733333333336,0.015635733333333336,0.015635733333333336,0.015635733333333336,0.07817866666666667,0.07817866666666667,0.07817866666666667,0.07817866666666667,0.07817866666666667,0.07817866666666667,0.07817866666666667,0.0,0.0,0.0,0.0,0.0
Orange,0.03908933333333334,0.03908933333333334,0.03908933333333334,0.03908933333333334,0.03908933333333334,0.03908933333333334,0.03908933333333334,0.03908933333333334,0.03908933333333334,0.06254293333333334,0.06254293333333334,0.015635733333333336,0.015635733333333336,0.015635733333333336,0.015635733333333336,0.07817866666666667,0.07817866666666667,0.07817866666666667,0.07817866666666667,0.07817866666666667,0.07817866666666667,0.07817866666666667,0.0,0.0,0.0,0.0,0.0
Banana,0.03908933333333334,0.03908933333333334,0.03908933333333334,0.03908933333333334,0.03908933333333334,0.03908933333333334,0.03908933333333334,0.03908933333333334,0.03908933333333334,0.06254293333333334,0.06254293333333334,0.015635733333333336,0.015635733333333336,0.015635733333333336,0.015635733333333336,0.07817866666666667,0.07817866666666667,0.07817866666666667,0.07817866666666667,0.07817866666666667,0.07817866666666667,0.07817866666666667,0.0,0.0,0.0,0.0,0.0
Guava,0.03908933333333334,0.03908933333333334,0.03908933333333334,0.03908933333333334,0.03908933333333334,0.03908933333333334,0.03908933333333334,0.03908933333333334,0.03908933333333334,0.06254293333333334,0.06254293333333334,0.015635733333333336,0.015635733333333336,0.015635733333333336,0.015635733333333336,0.07817866666666667,0.07817866666666667,0.07817866666666667,0.07817866666666667,0.07817866666666667,0.07817866666666667,0.07817866666666667,0.0,0.0,0.0,0.0,0.0
Watermelon,0.03908933333333334,0.03908933333333334,0.03908933333333334,0.03908933333333334,0.03908933333333334,0.03908933333333334,0.03908933333333334,0.03908933333333334,0.03908933333333334,0.06254293333333334,0.06254293333333334,0.015635733333333336,0.015635733333333336,0.015635733333333336,0.015635733333333336,0.07817866666666667,0.07817866666666667,0.07817866666666667,0.07817866666666667,0.07817866666666667,0.07817866666666667,0.07817866666666667,0.0,0.0,0.0,0.0,0.0
Apple,0.03908933333333334,0.03908933333333334,0.03908933333333334,0.03908933333333334,0.03908933333333334,0.03908933333333334,0.03908933333333334,0.03908933333333334,0.03908933333333334,0.06254293333333334,0.06254293333333334,0.015635733333333336,0.015635733333333336,0.015635733333333336,0.015635733333333336,0.07817866666666667,0.07817866666666667,0.07817866666666667,0.07817866666666667,0.07817866666666667,0.07817866666666667,0.07817866666666667,0.0,0.0,0.0,0.0,0.0
Avocado,0.03908933333333334,0.03908933333333334,0.03908933333333334,0.03908933333333334,0.03908933333333334,0.03908933333333334,0.03908933333333334,0.03908933333333334,0.03908933333333334,0.06254293333333334,0.06254293333333334,0.015635733333333336,0.015635733333333336,0.015635733333333336,0.015635733333333336,0.07817866666666667,0.07817866666666667,0.07817866666666667,0.07817866666666667,0.07817866666666667,0.07817866666666667,0.07817866666666667,0.0,0.0,0.0,0.0,0.0
Durian,0.03908933333333334,0.03908933333333334,0.03908933333333334,0.03908933333333334,0.03908933333333334,0.03908933333333334,0.03908933333333334,0.03908933333333334,0.03908933333333334,0.06254293333333334,0.06254293333333334,0.015635733333333336,0.015635733333333336,0.015635733333333336,0.015635733333333336,0.07817866666666667,0.07817866666666667,0.07817866666666667,0.07817866666666667,0.07817866666666667,0.07817866666666667,0.07817866666666667,0.0,0.0,0.0,0.0,0.0
Corn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Potato,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tofu,0.19182500000000002,0.19182500000000002,0.19182500000000002,0.19182500000000002,0.19182500000000002,0.19182500000000002,0.19182500000000002,0.19182500000000002,0.19182500000000002,0.3069200000000001,0.3069200000000001,0.07673000000000002,0.07673000000000002,0.07673000000000002,0.07673000000000002,0.38365000000000005,0.38365000000000005,0.38365000000000005,0.38365000000000005,0.38365000000000005,0.38365000000000005,0.38365000000000005,0.0,0.0,0.0,0.0,0.0
Tempeh,0.19182500000000002,0.19182500000000002,0.19182500000000002,0.19182500000000002,0.19182500000000002,0.19182500000000002,0.19182500000000002,0.19182500000000002,0.19182500000000002,0.3069200000000001,0.3069200000000001,0.07673000000000002,0.07673000000000002,0.07673000000000002,0.07673000000000002,0.38365000000000005,0.38365000000000005,0.38365000000000005,0.38365000000000005,0.38365000000000005,0.38365000000000005,0.38365000000000005,0.0,0.0,0.0,0.0,0.0
Peanuts,0.19182500000000002,0.19182500000000002,0.19182500000000002,0.19182500000000002,0.19182500000000002,0.19182500000000002,0.19182500000000002,0.19182500000000002,0.19182500000000002,0.3069200000000001,0.3069200000000001,0.07673000000000002,0.07673000000000002,0.07673000000000002,0.07673000000000002,0.38365000000000005,0.38365000000000005,0.38365000000000005,0.38365000000000005,0.38365000000000005,0.38365000000000005,0.38365000000000005,0.0,0.0,0.0,0.0,0.0
Chickpeas,0.19182500000000002,0.19182500000000002,0.19182500000000002,0.19182500000000002,0.19182500000000002,0.19182500000000002,0.19182500000000002,0.19182500000000002,0.19182500000000002,0.3069200000000001,0.3069200000000001,0.07673000000000002,0.07673000000000002,0.07673000000000002,0.07673000000000002,0.38365000000000005,0.38365000000000005,0.38365000000000005,0.38365000000000005,0.38365000000000005,0.38365000000000005,0.38365000000000005,0.0,0.0,0.0,0.0,0.0
Pumpkin,0.118236,0.118236,0.118236,0.118236,0.118236,0.118236,0.118236,0.118236,0.118236,0.1891776,0.1891776,0.0472944,0.0472944,0.0472944,0.0472944,0.236472,0.236472,0.236472,0.236472,0.236472,0.236472,0.236472,0.0,0.0,0.0,0.0,0.0
Spinach,0.118236,0.118236,0.118236,0.118236,0.118236,0.118236,0.118236,0.118236,0.118236,0.1891776,0.1891776,0.0472944,0.0472944,0.0472944,0.0472944,0.236472,0.236472,0.236472,0.236472,0.236472,0.236472,0.236472,0.0,0.0,0.0,0.0,0.0
Tomatoes,0.118236,0.118236,0.118236,0.118236,0.118236,0.118236,0.118236,0.118236,0.118236,0.1891776,0.1891776,0.0472944,0.0472944,0.0472944,0.0472944,0.236472,0.236472,0.236472,0.236472,0.236472,0.236472,0.236472,0.0,0.0,0.0,0.0,0.0
Long bean,0.118236,0.118236,0.118236,0.118236,0.118236,0.118236,0.118236,0.118236,0.118236,0.1891776,0.1891776,0.0472944,0.0472944,0.0472944,0.0472944,0.236472,0.236472,0.236472,0.236472,0.236472,0.236472,0.236472,0.0,0.0,0.0,0.0,0.0
Cabbage,0.118236,0.118236,0.118236,0.118236,0.118236,0.118236,0.118236,0.118236,0.118236,0.1891776,0.1891776,0.0472944,0.0472944,0.0472944,0.0472944,0.236472,0.236472,0.236472,0.236472,0.236472,0.236472,0.236472,0.0,0.0,0.0,0.0,0.0
Eggplant,0.118236,0.118236,0.118236,0.118236,0.118236,0.118236,0.118236,0.118236,0.118236,0.1891776,0.1891776,0.0472944,0.0472944,0.0472944,0.0472944,0.236472,0.236472,0.236472,0.236472,0.236472,0.236472,0.236472,0.0,0.0,0.0,0.0,0.0
Cucumber,0.118236,0.118236,0.118236,0.118236,0.118236,0.118236,0.118236,0.118236,0.118236,0.1891776,0.1891776,0.0472944,0.0472944,0.0472944,0.0472944,0.236472,0.236472,0.236472,0.236472,0.236472,0.236472,0.236472,0.0,0.0,0.0,0.0,0.0
Egg,-0.072934,-0.072934,-0.072934,-0.072934,-0.072934,-0.072934,-0.072934,-0.072934,-0.072934,-0.1166944,-0.1166944,-0.0291736,-0.0291736,-0.0291736,-0.0291736,-0.145868,-0.145868,-0.145868,-0.145868,-0.145868,-0.145868,-0.145868,-0.0,-0.0,-0.0,-0.0,-0.0
Beef,-0.072934,-0.072934,-0.072934,-0.072934,-0.072934,-0.072934,-0.072934,-0.072934,-0.072934,-0.1166944,-0.1166944,-0.0291736,-0.0291736,-0.0291736,-0.0291736,-0.145868,-0.145868,-0.145868,-0.145868,-0.145868,-0.145868,-0.145868,-0.0,-0.0,-0.0,-0.0,-0.0
Lamb,-0.072934,-0.072934,-0.072934,-0.072934,-0.072934,-0.072934,-0.072934,-0.072934,-0.072934,-0.1166944,-0.1166944,-0.0291736,-0.0291736,-0.0291736,-0.0291736,-0.145868,-0.145868,-0.145868,-0.145868,-0.145868,-0.145868,-0.145868,-0.0,-0.0,-0.0,-0.0,-0.0
Pork,-0.072934,-0.072934,-0.072934,-0.072934,-0.072934,-0.072934,-0.072934,-0.072934,-0.072934,-0.1166944,-0.1166944,-0.0291736,-0.0291736,-0.0291736,-0.0291736,-0.145868,-0.145868,-0.145868,-0.145868,-0.145868,-0.145868,-0.145868,-0.0,-0.0,-0.0,-0.0,-0.0
Chicken,-0.072934,-0.072934,-0.072934,-0.072934,-0.072934,-0.072934,-0.072934,-0.072934,-0.072934,-0.1166944,-0.1166944,-0.0291736,-0.0291736,-0.0291736,-0.0291736,-0.145868,-0.145868,-0.145868,-0.145868,-0.145868,-0.145868,-0.145868,-0.0,-0.0,-0.0,-0.0,-0.0
